age,job,marital,deposit
30,self-employed,single,yes
38,unemployed,single,yes
34,student,single,yes
52,admin.,single,yes
27,management,single,yes
40,blue-collar,married,yes
47,management,married,yes
26,management,single,yes
37,admin.,married,yes
34,management,married,yes
26,admin.,single,yes
44,management,married,yes
29,management,single,yes
40,unemployed,single,yes
43,blue-collar,married,yes
52,technician,divorced,yes
38,admin.,married,yes
33,services,divorced,yes
50,technician,married,yes
53,admin.,married,yes
42,services,married,yes
49,technician,married,yes
27,technician,single,yes
32,admin.,married,yes
31,student,single,yes
29,technician,single,yes
49,services,married,yes
46,blue-collar,married,yes
57,blue-collar,married,yes
28,technician,single,yes
37,entrepreneur,married,yes
38,blue-collar,married,yes
49,management,married,yes
35,technician,married,yes
29,technician,married,yes
52,technician,married,yes
34,unemployed,married,yes
60,technician,married,yes
32,self-employed,married,yes
27,admin.,single,yes
55,entrepreneur,married,yes
29,management,single,yes
42,blue-collar,married,yes
33,management,divorced,yes
29,blue-collar,married,yes
39,admin.,married,yes
31,technician,single,yes
60,management,divorced,yes
25,student,single,yes
45,admin.,married,yes
29,management,single,yes
55,management,divorced,yes
26,technician,single,yes
30,management,single,yes
54,admin.,divorced,yes
39,blue-collar,single,yes
26,management,single,yes
57,retired,married,yes
39,unemployed,married,yes
25,blue-collar,single,yes
43,blue-collar,married,yes
32,blue-collar,married,yes
43,management,divorced,yes
50,management,divorced,yes
35,services,married,yes
37,management,married,yes
42,admin.,single,yes
27,management,married,yes
27,services,single,yes
29,management,single,yes
29,student,single,yes
26,student,single,yes
39,admin.,single,yes
41,services,married,yes
29,management,married,yes
33,technician,single,yes
32,management,married,yes
30,management,married,yes
38,technician,single,yes
55,admin.,married,yes
25,admin.,single,yes
38,entrepreneur,divorced,yes
35,blue-collar,married,yes
31,unemployed,married,yes
25,services,single,yes
31,management,single,yes
27,student,single,yes
34,admin.,single,yes
40,admin.,single,yes
27,admin.,married,yes
28,management,single,yes
28,management,single,yes
35,admin.,divorced,yes
58,retired,married,yes
44,technician,married,yes
57,retired,married,yes
25,self-employed,single,yes
21,student,single,yes
49,technician,married,yes
54,management,married,yes
59,retired,married,yes
28,management,single,yes
37,blue-collar,married,yes
30,technician,single,yes
35,housemaid,single,yes
31,management,single,yes
41,unemployed,single,yes
30,unemployed,single,yes
28,self-employed,single,yes
31,unemployed,single,yes
53,management,divorced,yes
22,blue-collar,single,yes
36,services,married,yes
33,technician,single,yes
31,technician,single,yes
49,admin.,married,yes
51,self-employed,married,yes
34,technician,married,yes
35,blue-collar,married,yes
32,admin.,single,yes
36,entrepreneur,divorced,yes
31,management,single,yes
25,technician,single,yes
25,services,single,yes
60,management,married,yes
40,self-employed,single,yes
50,management,married,yes
32,management,single,yes
60,admin.,married,yes
32,services,married,yes
52,entrepreneur,married,yes
59,technician,married,yes
56,retired,married,yes
47,management,single,yes
43,management,married,yes
25,services,single,yes
31,student,single,yes
27,management,single,yes
26,admin.,married,yes
37,admin.,single,yes
27,admin.,single,yes
49,management,married,yes
26,management,single,yes
28,management,single,yes
33,blue-collar,married,yes
31,technician,married,yes
32,services,married,yes
30,technician,single,yes
34,management,married,yes
58,retired,married,yes
34,management,married,yes
26,services,single,yes
49,management,single,yes
57,management,married,yes
83,retired,married,yes
61,management,married,yes
64,retired,married,yes
37,admin.,married,yes
68,retired,married,yes
71,retired,married,yes
54,management,married,yes
37,management,married,yes
22,student,single,yes
44,management,married,yes
37,entrepreneur,married,yes
72,self-employed,married,yes
69,retired,divorced,yes
41,blue-collar,married,yes
44,blue-collar,married,yes
32,services,single,yes
79,retired,married,yes
33,technician,married,yes
45,management,married,yes
40,management,married,yes
42,entrepreneur,married,yes
30,technician,single,yes
28,management,single,yes
58,housemaid,divorced,yes
39,admin.,divorced,yes
31,blue-collar,married,yes
45,admin.,married,yes
56,blue-collar,married,yes
46,management,divorced,yes
56,retired,married,yes
27,services,single,yes
30,unemployed,married,yes
26,self-employed,single,yes
35,unemployed,single,yes
52,blue-collar,married,yes
54,admin.,married,yes
41,entrepreneur,married,yes
24,management,single,yes
28,blue-collar,single,yes
62,management,married,yes
52,technician,married,yes
23,services,single,yes
82,retired,married,yes
63,retired,married,yes
32,admin.,married,yes
31,management,married,yes
37,services,married,yes
40,technician,single,yes
66,retired,married,yes
37,management,married,yes
38,unemployed,married,yes
27,student,single,yes
58,retired,married,yes
49,housemaid,married,yes
31,management,single,yes
31,management,single,yes
38,student,married,yes
79,retired,married,yes
71,retired,married,yes
52,technician,married,yes
55,management,married,yes
46,blue-collar,married,yes
28,management,single,yes
22,student,single,yes
49,management,single,yes
20,student,single,yes
19,student,single,yes
34,blue-collar,single,yes
73,management,married,yes
27,management,single,yes
59,blue-collar,divorced,yes
25,student,single,yes
44,entrepreneur,single,yes
28,management,single,yes
25,management,single,yes
28,management,married,yes
52,admin.,married,yes
57,management,married,yes
49,management,divorced,yes
33,technician,married,yes
47,technician,married,yes
68,retired,married,yes
40,technician,single,yes
46,management,married,yes
29,technician,single,yes
55,management,divorced,yes
30,self-employed,married,yes
49,admin.,divorced,yes
48,management,married,yes
21,student,single,yes
45,admin.,married,yes
43,management,married,yes
47,management,single,yes
27,management,single,yes
20,student,married,yes
37,unemployed,single,yes
61,management,married,yes
57,services,single,yes
40,management,married,yes
53,admin.,divorced,yes
65,unknown,married,yes
67,retired,married,yes
66,retired,married,yes
67,management,married,yes
57,retired,married,yes
38,admin.,married,yes
56,management,divorced,yes
46,management,married,yes
69,technician,married,yes
32,services,single,yes
72,retired,married,yes
41,admin.,married,yes
72,retired,married,yes
33,unemployed,married,yes
37,admin.,married,yes
34,management,married,yes
44,admin.,single,yes
42,services,single,yes
58,unemployed,married,yes
34,technician,married,yes
55,entrepreneur,divorced,yes
71,retired,married,yes
23,student,single,yes
60,management,single,yes
18,student,single,yes
54,technician,married,yes
59,retired,divorced,yes
32,self-employed,single,yes
61,self-employed,divorced,yes
31,management,married,yes
42,blue-collar,married,yes
42,unemployed,married,yes
42,services,single,yes
70,housemaid,divorced,yes
57,technician,married,yes
60,retired,married,yes
53,blue-collar,divorced,yes
48,unemployed,divorced,yes
30,management,single,yes
39,management,single,yes
42,technician,married,yes
26,admin.,single,yes
46,management,married,yes
40,admin.,single,yes
39,admin.,married,yes
58,self-employed,married,yes
42,blue-collar,married,yes
31,services,single,yes
21,student,single,yes
35,self-employed,single,yes
50,technician,divorced,yes
36,management,single,yes
75,retired,married,yes
20,student,single,yes
57,admin.,single,yes
41,management,married,yes
59,technician,married,yes
36,management,married,yes
18,student,single,yes
34,management,single,yes
55,management,married,yes
33,blue-collar,single,yes
43,technician,married,yes
34,services,married,yes
35,services,married,yes
43,technician,single,yes
74,retired,married,yes
45,unemployed,divorced,yes
38,blue-collar,married,yes
32,management,single,yes
29,admin.,single,yes
31,admin.,married,yes
50,services,married,yes
44,technician,divorced,yes
23,student,single,yes
56,management,married,yes
76,retired,married,yes
28,technician,single,yes
34,management,single,yes
56,retired,married,yes
45,management,single,yes
36,technician,single,yes
57,retired,single,yes
49,technician,married,yes
49,management,married,yes
37,management,married,yes
46,unemployed,single,yes
26,admin.,single,yes
47,unemployed,married,yes
36,management,married,yes
37,student,single,yes
62,management,married,yes
26,blue-collar,single,yes
45,management,married,yes
63,technician,married,yes
25,management,single,yes
60,retired,married,yes
44,management,married,yes
33,unemployed,single,yes
39,entrepreneur,married,yes
46,blue-collar,married,yes
42,admin.,married,yes
56,management,married,yes
82,retired,married,yes
77,retired,married,yes
36,services,single,yes
35,management,single,yes
50,technician,married,yes
62,retired,married,yes
26,management,single,yes
55,management,married,yes
22,student,single,yes
30,student,single,yes
34,housemaid,married,yes
31,management,married,yes
55,technician,married,yes
49,technician,single,yes
67,retired,divorced,yes
43,admin.,married,yes
25,technician,single,yes
59,retired,divorced,yes
44,admin.,married,yes
42,management,married,yes
29,management,single,yes
32,management,married,yes
30,management,single,yes
38,technician,married,yes
22,student,single,yes
25,entrepreneur,single,yes
34,self-employed,single,yes
27,technician,single,yes
35,management,single,yes
45,housemaid,married,yes
42,management,married,yes
20,student,single,yes
60,admin.,married,yes
47,management,married,yes
25,student,single,yes
65,retired,married,yes
50,technician,married,yes
22,student,single,yes
43,admin.,single,yes
53,retired,divorced,yes
71,retired,divorced,yes
28,blue-collar,married,yes
59,unemployed,married,yes
29,management,single,yes
51,technician,married,yes
48,housemaid,married,yes
37,blue-collar,married,yes
37,technician,married,yes
64,retired,married,yes
69,retired,married,yes
36,management,married,yes
43,services,married,yes
63,housemaid,married,yes
70,retired,married,yes
60,technician,single,yes
86,retired,divorced,yes
72,retired,married,yes
60,retired,married,yes
43,management,single,yes
57,management,divorced,yes
28,management,single,yes
36,blue-collar,single,yes
66,retired,married,yes
33,technician,single,yes
36,technician,single,yes
29,technician,single,yes
62,unemployed,married,yes
34,blue-collar,married,yes
29,unemployed,single,yes
30,management,married,yes
32,technician,married,yes
39,blue-collar,single,yes
55,admin.,divorced,yes
36,management,single,yes
27,student,single,yes
45,management,married,yes
55,management,married,yes
52,blue-collar,married,yes
49,management,single,yes
30,blue-collar,married,yes
39,management,married,yes
48,management,divorced,yes
36,management,married,yes
27,admin.,married,yes
51,management,married,yes
48,technician,married,yes
70,retired,married,yes
63,retired,married,yes
34,services,single,yes
46,admin.,married,yes
31,self-employed,single,yes
32,admin.,married,yes
40,unemployed,single,yes
30,admin.,single,yes
55,management,married,yes
57,management,divorced,yes
59,admin.,single,yes
26,technician,single,yes
73,retired,married,yes
30,admin.,single,yes
64,retired,married,yes
36,technician,married,yes
55,admin.,married,yes
63,retired,married,yes
52,technician,married,yes
34,management,single,yes
36,services,married,yes
31,management,single,yes
47,retired,single,yes
50,admin.,married,yes
70,retired,divorced,yes
18,student,single,yes
33,self-employed,married,yes
24,technician,single,yes
25,admin.,single,yes
26,management,single,yes
32,management,single,yes
25,student,single,yes
58,management,married,yes
42,management,married,yes
30,blue-collar,single,yes
76,retired,divorced,yes
79,retired,married,yes
70,retired,married,yes
30,management,single,yes
60,retired,married,yes
51,unemployed,married,yes
71,retired,married,yes
31,management,single,yes
32,admin.,single,yes
34,management,married,yes
28,admin.,single,yes
45,management,married,yes
53,entrepreneur,married,yes
38,unknown,single,yes
56,admin.,single,yes
42,technician,married,yes
47,technician,married,yes
73,retired,married,yes
46,blue-collar,married,yes
73,retired,married,yes
28,blue-collar,single,yes
46,management,married,yes
74,retired,married,yes
71,retired,divorced,yes
41,admin.,divorced,yes
73,retired,married,yes
47,technician,divorced,yes
49,technician,divorced,yes
40,admin.,married,yes
57,blue-collar,married,yes
50,housemaid,married,yes
34,blue-collar,married,yes
56,services,married,yes
32,technician,single,yes
50,management,divorced,yes
54,unemployed,divorced,yes
26,management,single,yes
40,technician,married,yes
29,management,single,yes
52,housemaid,married,yes
38,technician,married,yes
46,management,married,yes
26,management,single,yes
25,management,single,yes
70,retired,married,yes
83,retired,married,yes
43,management,divorced,yes
45,blue-collar,married,yes
37,admin.,single,yes
71,retired,divorced,yes
27,management,single,yes
47,admin.,married,yes
42,management,divorced,yes
77,retired,divorced,yes
61,management,married,yes
57,management,married,yes
34,management,married,yes
40,blue-collar,married,yes
84,entrepreneur,married,yes
26,student,single,yes
37,technician,married,yes
47,management,married,yes
37,management,single,yes
28,management,single,yes
54,management,married,yes
54,management,married,yes
61,retired,married,yes
30,technician,single,yes
60,retired,married,yes
44,management,married,yes
33,management,single,yes
25,admin.,single,yes
54,unknown,married,yes
24,blue-collar,single,yes
36,technician,married,yes
58,retired,married,yes
33,management,single,yes
27,admin.,married,yes
60,admin.,divorced,yes
56,unemployed,married,yes
25,technician,single,yes
21,student,single,yes
73,retired,divorced,yes
67,management,divorced,yes
51,entrepreneur,divorced,yes
48,management,married,yes
35,management,single,yes
61,self-employed,divorced,yes
35,technician,single,yes
36,admin.,divorced,yes
83,retired,single,yes
50,management,married,yes
66,housemaid,married,yes
58,technician,married,yes
30,management,single,yes
54,blue-collar,married,yes
26,admin.,single,yes
43,services,married,yes
40,unemployed,single,yes
57,management,married,yes
75,retired,married,yes
77,retired,married,yes
31,management,married,yes
22,services,single,yes
50,management,married,yes
27,management,married,yes
73,retired,married,yes
37,services,married,yes
44,technician,single,yes
40,technician,married,yes
61,management,married,yes
61,technician,divorced,yes
47,blue-collar,married,yes
47,services,single,yes
76,housemaid,divorced,yes
30,student,single,yes
39,technician,married,yes
72,retired,married,yes
77,retired,married,yes
36,technician,married,yes
65,retired,married,yes
54,technician,married,yes
46,admin.,single,yes
28,management,single,yes
61,management,married,yes
53,housemaid,married,yes
27,student,single,yes
55,unemployed,divorced,yes
33,management,single,yes
87,retired,divorced,yes
57,management,married,yes
33,self-employed,single,yes
51,technician,married,yes
76,retired,divorced,yes
19,student,single,yes
33,admin.,married,yes
55,management,divorced,yes
31,blue-collar,single,yes
92,retired,married,yes
30,technician,single,yes
68,retired,single,yes
41,technician,single,yes
29,self-employed,married,yes
27,blue-collar,single,yes
78,retired,married,yes
82,retired,married,yes
29,technician,single,yes
76,retired,married,yes
38,management,married,yes
60,technician,married,yes
33,services,divorced,yes
43,blue-collar,married,yes
61,retired,married,yes
43,technician,single,yes
57,management,married,yes
33,management,married,yes
77,management,married,yes
35,technician,single,yes
59,retired,married,yes
76,retired,married,yes
73,retired,married,yes
81,retired,married,yes
41,unknown,single,yes
57,technician,married,yes
28,technician,single,yes
38,blue-collar,single,yes
52,services,married,yes
22,student,single,yes
53,unknown,married,yes
60,admin.,married,yes
56,management,married,yes
38,housemaid,divorced,yes
44,management,single,yes
69,retired,divorced,yes
36,student,single,yes
75,self-employed,married,yes
65,retired,married,yes
64,retired,married,yes
30,admin.,single,yes
57,housemaid,married,yes
31,management,married,yes
36,management,married,yes
64,management,married,yes
54,technician,married,yes
26,admin.,single,yes
51,self-employed,single,yes
72,retired,married,yes
30,management,married,yes
60,blue-collar,married,yes
30,management,single,yes
66,retired,married,yes
50,technician,married,yes
47,management,single,yes
80,retired,married,yes
61,management,married,yes
47,management,married,yes
30,technician,single,yes
21,student,single,yes
62,management,married,yes
26,technician,single,yes
36,blue-collar,married,yes
87,retired,married,yes
61,retired,married,yes
70,retired,married,yes
60,management,married,yes
41,services,married,yes
22,student,single,yes
60,retired,divorced,yes
54,technician,married,yes
35,self-employed,single,yes
59,management,married,yes
29,student,single,yes
48,management,married,yes
37,management,married,yes
36,management,single,yes
52,admin.,single,yes
67,retired,divorced,yes
36,self-employed,married,yes
64,management,married,yes
29,technician,single,yes
27,management,single,yes
76,retired,married,yes
34,management,married,yes
54,technician,married,yes
67,retired,married,yes
24,technician,married,yes
53,admin.,married,yes
33,student,married,yes
24,student,single,yes
32,management,single,yes
60,self-employed,married,yes
64,entrepreneur,married,yes
35,management,single,yes
24,student,single,yes
42,management,married,yes
40,management,married,yes
33,management,married,yes
71,housemaid,divorced,yes
52,unemployed,married,yes
47,admin.,married,yes
49,management,married,yes
26,management,single,yes
40,management,married,yes
32,technician,single,yes
33,services,married,yes
35,management,married,yes
53,management,married,yes
20,student,single,yes
44,self-employed,divorced,yes
21,student,single,yes
36,blue-collar,single,yes
31,management,single,yes
42,technician,married,yes
33,services,married,yes
29,management,single,yes
30,unemployed,single,yes
32,management,married,yes
54,unknown,married,yes
82,retired,divorced,yes
47,management,married,yes
48,blue-collar,married,yes
77,retired,divorced,yes
38,admin.,married,yes
27,student,single,yes
43,services,single,yes
33,technician,married,yes
27,admin.,single,yes
76,retired,married,yes
81,retired,married,yes
71,retired,married,yes
39,admin.,married,yes
18,student,single,yes
58,services,divorced,yes
44,technician,divorced,yes
67,retired,married,yes
31,services,single,yes
61,retired,married,yes
36,technician,single,yes
56,retired,married,yes
24,student,single,yes
33,admin.,married,yes
34,blue-collar,single,yes
58,admin.,married,yes
64,retired,married,yes
27,blue-collar,single,yes
63,management,married,yes
23,student,single,yes
37,technician,single,yes
43,management,married,yes
35,technician,married,yes
33,blue-collar,married,yes
75,retired,married,yes
40,admin.,married,yes
52,management,married,yes
55,technician,divorced,yes
71,retired,married,yes
78,retired,married,yes
35,technician,married,yes
52,technician,married,yes
31,management,single,yes
31,admin.,single,yes
38,management,married,yes
28,student,single,yes
72,retired,married,yes
29,admin.,single,yes
46,housemaid,married,yes
53,technician,married,yes
58,technician,married,yes
22,student,single,yes
28,admin.,married,yes
31,technician,married,yes
26,blue-collar,single,yes
60,retired,divorced,yes
29,technician,single,yes
36,admin.,divorced,yes
68,retired,married,yes
48,management,married,yes
53,unemployed,married,yes
39,technician,married,yes
28,services,single,yes
72,retired,married,yes
29,management,single,yes
26,student,single,yes
49,management,married,yes
43,management,single,yes
28,student,single,yes
44,admin.,single,yes
73,retired,divorced,yes
39,management,married,yes
29,student,single,yes
31,technician,married,yes
30,student,single,yes
50,admin.,married,yes
42,management,married,yes
37,admin.,married,yes
49,technician,married,yes
59,unemployed,married,yes
80,retired,married,yes
86,retired,single,yes
69,retired,married,yes
79,retired,married,yes
36,services,married,yes
49,management,married,yes
69,retired,married,yes
66,retired,married,yes
32,management,divorced,yes
47,management,single,yes
58,management,married,yes
64,retired,married,yes
72,retired,married,yes
79,retired,married,yes
30,technician,married,yes
36,management,married,yes
53,entrepreneur,married,yes
34,management,married,yes
29,student,single,yes
29,management,single,yes
81,retired,divorced,yes
57,retired,married,yes
72,retired,married,yes
34,services,married,yes
57,management,divorced,yes
66,housemaid,married,yes
27,student,single,yes
50,management,married,yes
75,retired,divorced,yes
50,services,married,yes
32,admin.,single,yes
59,retired,married,yes
68,retired,married,yes
31,technician,married,yes
64,self-employed,married,yes
30,unemployed,divorced,yes
60,admin.,married,yes
35,management,single,yes
72,retired,married,yes
30,blue-collar,married,yes
52,unemployed,divorced,yes
33,management,married,yes
84,retired,married,yes
43,management,married,yes
39,technician,single,yes
25,technician,married,yes
38,admin.,married,yes
44,management,married,yes
20,student,single,yes
32,management,single,yes
23,services,single,yes
35,unemployed,married,yes
61,management,married,yes
46,management,divorced,yes
70,retired,married,yes
25,technician,single,yes
57,retired,married,yes
55,admin.,married,yes
33,management,married,yes
73,retired,married,yes
34,unemployed,single,yes
31,technician,single,yes
25,blue-collar,single,yes
30,technician,married,yes
28,self-employed,single,yes
21,student,single,yes
87,retired,married,yes
22,student,single,yes
28,self-employed,single,yes
31,unemployed,married,yes
60,retired,married,yes
41,technician,single,yes
24,student,single,yes
54,management,divorced,yes
35,technician,single,yes
70,retired,divorced,yes
62,blue-collar,married,yes
59,technician,married,yes
48,unemployed,married,yes
45,admin.,married,yes
36,admin.,married,yes
33,services,single,yes
32,admin.,married,yes
60,retired,divorced,yes
39,management,married,yes
37,admin.,single,yes
85,retired,married,yes
79,retired,married,yes
64,retired,married,yes
42,technician,married,yes
47,blue-collar,married,yes
66,retired,married,yes
61,retired,married,yes
27,admin.,married,yes
63,retired,married,yes
36,management,married,yes
38,unemployed,married,yes
92,retired,married,yes
77,retired,married,yes
30,admin.,single,yes
81,retired,married,yes
42,unknown,single,yes
48,admin.,divorced,yes
52,services,married,yes
38,housemaid,divorced,yes
61,admin.,married,yes
20,student,single,yes
39,admin.,married,yes
44,technician,married,yes
73,retired,married,yes
36,student,single,yes
48,management,married,yes
52,services,married,yes
30,blue-collar,married,yes
36,management,married,yes
80,retired,married,yes
33,technician,married,yes
56,technician,married,yes
54,admin.,married,yes
34,admin.,married,yes
66,retired,married,yes
52,blue-collar,married,yes
60,retired,married,yes
28,admin.,single,yes
56,retired,divorced,yes
36,technician,married,yes
45,management,single,yes
60,management,married,yes
33,entrepreneur,single,yes
77,retired,married,yes
66,retired,married,yes
45,management,married,yes
30,student,single,yes
56,services,married,yes
64,housemaid,married,yes
30,technician,single,yes
33,technician,married,yes
72,retired,married,yes
44,technician,married,yes
37,admin.,single,yes
52,blue-collar,married,yes
37,technician,single,yes
34,management,married,yes
78,retired,married,yes
45,admin.,married,yes
68,retired,married,yes
53,management,married,yes
39,services,married,yes
55,management,divorced,yes
32,student,single,yes
76,retired,married,yes
35,admin.,divorced,yes
55,admin.,married,yes
41,technician,single,yes
35,unemployed,single,yes
80,retired,married,yes
38,technician,married,yes
48,blue-collar,married,yes
25,management,married,yes
36,admin.,single,yes
29,housemaid,single,yes
58,unemployed,married,yes
46,blue-collar,married,yes
23,admin.,single,yes
67,retired,divorced,yes
30,management,married,yes
22,student,single,yes
45,admin.,married,yes
40,management,married,yes
35,management,married,yes
33,student,married,yes
60,technician,married,yes
24,student,single,yes
18,student,single,yes
65,entrepreneur,married,yes
27,management,single,yes
35,admin.,single,yes
39,blue-collar,single,yes
53,admin.,married,yes
23,student,single,yes
34,admin.,married,yes
36,management,single,yes
52,unemployed,married,yes
36,student,single,yes
61,retired,married,yes
58,technician,married,yes
48,unemployed,divorced,yes
34,management,divorced,yes
58,management,married,yes
39,technician,divorced,yes
44,management,married,yes
54,unknown,married,yes
27,student,single,yes
77,retired,married,yes
30,admin.,single,yes
61,retired,married,yes
76,retired,married,yes
28,blue-collar,married,yes
35,management,married,yes
59,technician,married,yes
42,blue-collar,married,yes
35,self-employed,single,yes
71,retired,married,yes
60,retired,married,yes
34,blue-collar,married,yes
57,retired,married,yes
75,retired,married,yes
64,retired,married,yes
36,technician,married,yes
29,technician,single,yes
34,management,single,yes
26,unemployed,single,yes
41,management,married,yes
47,blue-collar,married,yes
52,management,married,yes
32,technician,married,yes
21,student,single,yes
54,technician,married,yes
29,management,single,yes
32,management,married,yes
38,services,married,yes
48,unemployed,married,yes
46,management,married,yes
32,technician,married,yes
49,services,married,yes
37,management,married,yes
37,technician,single,yes
23,student,single,yes
58,admin.,married,yes
45,management,married,yes
30,unemployed,single,yes
23,student,single,yes
34,management,married,yes
27,management,single,yes
28,student,single,yes
61,self-employed,divorced,yes
27,blue-collar,single,yes
34,management,single,yes
52,technician,married,yes
28,technician,single,yes
35,management,single,yes
66,retired,married,yes
52,services,married,yes
26,admin.,single,yes
38,management,single,yes
59,self-employed,married,yes
47,blue-collar,married,yes
22,student,single,yes
82,retired,married,yes
60,retired,divorced,yes
53,management,married,yes
39,management,single,yes
27,unknown,single,yes
35,management,married,yes
80,housemaid,married,yes
47,admin.,married,yes
72,retired,divorced,yes
45,management,single,yes
37,unemployed,married,yes
29,self-employed,single,yes
40,management,single,yes
32,management,married,yes
20,student,single,yes
48,housemaid,married,yes
60,admin.,married,yes
70,retired,married,yes
78,retired,divorced,yes
52,admin.,single,yes
61,self-employed,divorced,yes
27,services,single,yes
63,technician,married,yes
59,technician,married,yes
22,student,single,yes
66,management,married,yes
74,retired,married,yes
52,technician,married,yes
71,retired,divorced,yes
33,management,married,yes
56,technician,married,yes
30,management,single,yes
73,retired,married,yes
28,blue-collar,single,yes
27,technician,single,yes
38,services,single,yes
28,technician,single,yes
37,management,single,yes
47,technician,married,yes
60,retired,divorced,yes
42,technician,married,yes
27,student,single,yes
25,student,single,yes
90,retired,divorced,yes
29,student,single,yes
29,technician,single,yes
63,retired,married,yes
32,management,single,yes
32,management,married,yes
42,management,married,yes
26,admin.,single,yes
73,retired,single,yes
26,student,single,yes
60,admin.,married,yes
25,blue-collar,single,yes
64,retired,married,yes
68,retired,married,yes
39,services,married,yes
40,unemployed,single,yes
37,management,married,yes
36,services,married,yes
33,management,divorced,yes
83,retired,married,yes
31,technician,married,yes
64,unemployed,divorced,yes
59,unemployed,married,yes
33,management,single,yes
35,management,married,yes
69,retired,married,yes
31,management,single,yes
73,retired,married,yes
35,technician,married,yes
28,management,single,yes
34,management,married,yes
33,management,married,yes
36,services,married,yes
44,management,married,yes
19,student,single,yes
28,management,single,yes
51,blue-collar,married,yes
52,unemployed,married,yes
61,retired,married,yes
39,management,married,yes
37,unemployed,married,yes
80,retired,married,yes
61,admin.,married,yes
72,retired,married,yes
36,management,married,yes
74,retired,married,yes
35,blue-collar,married,yes
82,retired,divorced,yes
71,retired,married,yes
38,housemaid,single,yes
38,management,married,yes
53,admin.,married,yes
29,management,single,yes
64,retired,married,yes
35,unemployed,single,yes
35,admin.,married,yes
46,management,divorced,yes
25,blue-collar,single,yes
46,management,married,yes
59,management,married,yes
35,technician,single,yes
22,technician,single,yes
31,management,single,yes
43,management,divorced,yes
35,management,single,yes
60,admin.,married,yes
54,management,married,yes
29,self-employed,single,yes
30,student,single,yes
28,management,single,yes
43,services,married,yes
37,services,married,yes
62,management,married,yes
57,management,married,yes
33,management,single,yes
47,management,single,yes
39,technician,single,yes
30,self-employed,single,yes
28,admin.,single,yes
57,management,divorced,yes
23,services,single,yes
56,housemaid,single,yes
44,admin.,divorced,yes
80,retired,divorced,yes
47,management,married,yes
27,student,single,yes
26,management,single,yes
50,technician,divorced,yes
84,retired,married,yes
86,retired,married,yes
46,management,married,yes
45,technician,married,yes
60,blue-collar,married,yes
47,admin.,married,yes
53,admin.,married,yes
54,technician,married,yes
19,student,single,yes
24,student,single,yes
39,management,divorced,yes
53,technician,married,yes
29,management,single,yes
30,management,married,yes
32,management,single,yes
33,self-employed,single,yes
33,management,single,yes
57,retired,married,yes
27,technician,single,yes
55,management,married,yes
36,management,single,yes
26,management,single,yes
31,admin.,married,yes
25,unemployed,single,yes
49,admin.,married,yes
30,management,single,yes
32,management,single,yes
36,management,single,yes
38,management,married,yes
45,blue-collar,single,yes
36,management,single,yes
23,student,single,yes
38,technician,married,yes
44,services,married,yes
35,management,single,yes
75,retired,married,yes
26,technician,single,yes
59,technician,married,yes
30,management,single,yes
36,blue-collar,married,yes
39,technician,married,yes
24,management,single,yes
22,services,single,yes
36,management,married,yes
22,management,single,yes
34,management,married,yes
22,student,single,yes
57,management,married,yes
30,student,single,yes
55,unemployed,divorced,yes
38,blue-collar,divorced,yes
39,blue-collar,single,yes
38,technician,single,yes
24,admin.,single,yes
30,student,single,yes
29,blue-collar,single,yes
25,student,single,yes
52,technician,married,yes
62,management,married,yes
40,technician,married,yes
76,retired,married,yes
31,admin.,single,yes
42,self-employed,married,yes
43,technician,single,yes
73,retired,married,yes
41,management,divorced,yes
77,management,married,yes
46,admin.,divorced,yes
35,technician,married,yes
26,management,single,yes
45,blue-collar,single,yes
29,management,single,yes
30,technician,single,yes
26,unemployed,single,yes
63,blue-collar,married,yes
37,unemployed,single,yes
26,management,single,yes
54,admin.,married,yes
30,admin.,single,yes
61,retired,married,yes
69,retired,married,yes
76,self-employed,married,yes
30,management,single,yes
64,retired,married,yes
55,housemaid,married,yes
55,technician,married,yes
29,management,single,yes
41,unemployed,married,yes
63,retired,married,yes
45,admin.,married,yes
32,technician,single,yes
41,self-employed,married,yes
37,management,married,yes
19,student,single,yes
61,retired,divorced,yes
40,unemployed,single,yes
30,management,married,yes
54,technician,married,yes
49,admin.,married,yes
45,admin.,married,yes
48,blue-collar,married,yes
60,blue-collar,married,yes
34,unemployed,single,yes
29,housemaid,single,yes
77,retired,married,yes
64,management,married,yes
80,retired,married,yes
26,technician,single,yes
33,admin.,married,yes
41,technician,single,yes
28,management,single,yes
74,retired,married,yes
29,student,single,yes
72,retired,married,yes
18,student,single,yes
46,blue-collar,married,yes
37,technician,married,yes
37,management,married,yes
32,technician,married,yes
51,technician,married,yes
77,unknown,married,yes
35,management,married,yes
53,management,married,yes
46,management,married,yes
78,retired,divorced,yes
34,technician,married,yes
54,management,married,yes
33,services,married,yes
23,student,single,yes
34,technician,single,yes
32,unemployed,single,yes
54,unknown,married,yes
40,admin.,married,yes
63,retired,divorced,yes
37,management,married,yes
48,blue-collar,married,yes
28,technician,single,yes
35,management,married,yes
29,management,single,yes
68,retired,married,yes
53,blue-collar,single,yes
37,technician,single,yes
58,admin.,married,yes
37,management,married,yes
37,admin.,married,yes
34,admin.,married,yes
50,admin.,married,yes
56,management,married,yes
57,retired,married,yes
29,unemployed,single,yes
75,retired,married,yes
24,management,single,yes
46,management,married,yes
27,student,single,yes
52,management,married,yes
